company_id,tsx_code,company_name,name_alt,status,headquarters,minerals_of_interest,percent_gold,percent_silver,description,last_updated
1,AAB.TO,ABERDEEN INTERNATIONAL,Aberdeen International Inc.,explorer,"Toronto, Canada","uranium, lithium, gold, silver",10.0,5.0,"Resource-focused investment company and merchant bank targeting small-cap metals, mining, and renewal energy sectors. Focuses on green energy, agriculture, and natural resources, seeking equity in pre-IPO/early-stage companies.",2024-07-27 20:20:00+0000
2,IRV.CN,IRVING RESOURCES,Irving Resources Inc.,explorer,"Vancouver, Canada","gold, silver",87.2,12.8,Junior exploration company acquiring and exploring for high-grade gold and silver deposits in Japan. Flagship project is the Omu epithermal system in Hokkaido.,2024-07-27 20:21:00+0000
3,ITH.TO,INTL. TOWER HILL MINES,International Tower Hill Mines Ltd.,developer,"Vancouver, Canada",gold,100.0,0.0,"Gold development company focused on advancing its large, bulk tonnage Livengood Gold Project located near Fairbanks, Alaska, USA.",2024-07-27 20:22:00+0000
4,ITR.V,INTEGRA RESOURCES,Integra Resources Corp.,developer,"Vancouver, Canada","gold, silver",61.5,38.5,"Precious metals development company advancing the DeLamar Project (including Florida Mountain) in Idaho, and the Wildcat/Mountain View projects in Nevada, USA.",2024-07-27 20:23:00+0000
5,AAG.V,Aftermath Silver Ltd.,Aftermath Silver Ltd.,developer,"Vancouver, Canada","silver, gold, copper, manganese, zinc",3.4,96.6,Silver-focused exploration and development company with polymetallic projects: Berenguela (Peru) and Challacollo/Cachinal (Chile).,2024-07-27 20:24:00+0000
6,ABRA.TO,AbraSilver Resource Corp.,AbraSilver Resource Corp.,developer,"Toronto, Canada","silver, gold",12.4,87.6,Advanced-stage exploration and development company focused on the Diablillos silver-gold project in Argentina.,2025-03-20 00:00:00+0000
7,AAUC.TO,Allied Gold,Allied Gold Corporation Limited,producer,"Toronto, Canada",gold,100.0,0.0,"Gold producer with operations in Côte d’Ivoire (Bonikro/Hiré, Sissingué) and Mali (Sadiola), plus development project Kurmuk (Ethiopia).",2024-07-27 20:25:00+0000
8,ABI.V,ABCOURT MINES,Abcourt Mines Inc.,producer,"Rouyn-Noranda, Canada","gold, silver, zinc",90.0,5.0,Quebec-focused gold company operating the Sleeping Giant mill (custom/own ore). Elder mine on C&M. Advancing Discovery/Flordin gold projects and holds Abcourt-Barvue Ag-Zn deposit.,2024-07-27 20:26:00+0000
9,AAN.V,ATON RESOURCES,Aton Resources Inc.,explorer,"Vancouver, Canada",gold,100.0,0.0,"Gold exploration company with projects in Egypt, including Hamama and Abu Marawat.",2025-03-20 00:00:00+0000
10,AEM.TO,AGNICO EAGLE MINES,Agnico Eagle Mines Limited,producer,"Toronto, Canada","gold, silver, copper, zinc",100.0,0.0,"Agnico Eagle Mines Limited is a Canadian-based senior gold mining company, one of the largest gold producers globally, with operations in Canada, Australia, Finland, and Mexico.",2025-03-20 00:00:00+0000
11,AERO.V,AERO ENERGY,,explorer,"Vancouver, Canada","uranium, gold",100.0,0.0,"Aero Energy Limited, a junior mineral exploration company, engages in the acquisition, exploration, and evaluation of mineral properties in Canada. The company explores for uranium and gold deposits. Its flagship optioned properties include the Sun Dog, Strike, and Murmac located in Athabasca Basin. Aero Energy Limited is based in Vancouver, Canada.",2025-03-18 06:04:40+0000
12,ADZ.V,ADAMERA MINERALS,Adamera Minerals Corp.,explorer,"Vancouver, Canada","gold, silver",100.0,0.0,"Adamera Minerals Corp. is a Canadian exploration company focused on gold and silver projects in Washington State, USA, including the Buckhorn 2.0 and Lamefoot South properties.",2025-03-20 00:00:00+0000
13,AGA.V,SILVER47 EXPLORATION,Silver Elephant Mining Corp.,explorer,"Vancouver, Canada","silver, gold, zinc",40.0,60.0,"Silver exploration company with projects in Alaska and Canada, including the Red Mountain VMS project.",2025-03-20 00:00:00+0000
14,AGAG.V,ARGENTA SILVER,Argenta Silver Corp.,explorer,"Vancouver, Canada",silver,0.0,100.0,Silver exploration company with the El Quevar project in Argentina.,2025-03-20 00:00:00+0000
15,AG.TO,FIRST MAJESTIC SILVER,First Majestic Silver Corp.,producer,"Vancouver, Canada","silver, gold",20.0,80.0,"Silver and gold producer with operations in Mexico and the U.S., including San Dimas, Santa Elena, La Encantada, and Jerritt Canyon.",2025-03-20 00:00:00+0000
16,AGLD.V,AUSTRAL GOLD LIMITED,Austral Gold Limited,producer,"Sydney, Australia","gold, silver",80.0,20.0,"Gold and silver producer with operations in Chile, Argentina, and the United States.together with its subsidiaries, engages in the exploration, production, and mining of gold and silver deposits in Chile, the United States, and Argentina. The company holds interest in the Guanaco/Amancaya gold and silver mine located to the southeast of Antofagasta in Northern Chile; and Casposo-Manantiale low sulphidation epithermal deposit project in Argentina. It also holds interest in the Jagüelito and Sierra Blanca projects in Argentina; and the Mercur and Rawhide projects in the United States. The company was formerly known as Diamond Rose NL and changed its name to Austral Gold Limited in November 2006. Austral Gold Limited was incorporated in 1996 and is based in Sydney, Australia. Austral Gold Limited is a subsidiary of Inversiones Financieras Del Sur S.A.",2025-03-20 00:00:00+0000
17,AGMR.V,SILVER MOUNTAIN RESOURCES,Silver Mountain Resources Inc.,explorer,"Toronto, Canada","silver,gold",10.0,90.0,"Silver exploration company with the Castrovirreyna project in Peru, including the Reliquias mine.",2025-03-20 00:00:00+0000
18,AGX.V,SILVER X MINING,Silver X Mining Corp.,producer,"Vancouver, Canada","silver,lead,zinc",0.0,100.0,"Silver, lead, and zinc producer with the Nueva Recuperada project in Peru.",2025-03-20 00:00:00+0000
19,ALDE.V,ALDEBARAN RESOURCES,Aldebaran Resources Inc.,explorer,"Vancouver, Canada","copper, gold, silver",9.0,2.19,"Mineral exploration company focused on the Altar copper-gold project in San Juan, Argentina, with additional copper, gold, and silver resources.",2025-03-20 00:00:00+0000
20,ALEX.V,ALPHA EXPLORATION,Alpha Exploration Ltd.,explorer,"Calgary, Canada","gold, copper",70.0,0.0,Mineral exploration company focused on the Kerkasha gold project in Eritrea.,2025-03-20 00:00:00+0000
21,ADY.V,ADYTON RESOURCES,Adyton Resources Corporation,explorer,"Brisbane, Australia","gold, copper",80.0,0.0,"Adyton Resources Corporation develops gold and copper resources in Papua New Guinea. The company's flagship project is the Feni Gold project located in New Ireland. It also has operations in Canada and Australia. Adyton Resources Corporation is headquartered in Brisbane, Australia.",2025-03-18 06:04:40+0000
22,AMC.TO,ARIZONA METALS,Arizona Metals Corp.,explorer,"Toronto, Canada","gold, copper, zinc, silver",60.0,10.0,"Mineral exploration company focused on gold and copper projects in Arizona, with key projects Kay Mine and Sugarloaf Peak.",2025-03-21 00:00:00+0000
23,AMQ.CN,ABITIBI METALS,Abitibi Metals Corp.,explorer,"London, Canada","copper, zinc, gold, silver",21.0,8.7,"Polymetallic exploration company with primary project B26 in Quebec, containing significant copper, zinc, gold, and silver resources.",2025-03-21 00:00:00+0000
24,ALTA.V,ALTAMIRA GOLD,Altamira Gold Corp.,explorer,"Vancouver, Canada",gold,100.0,0.0,"Gold exploration company with projects in Brazil, primarily in the Juruena gold belt, holding six projects totaling approximately 190,000 hectares.",2025-03-21 00:00:00+0000
25,AMX.V,AMEX EXPLORATION,Amex Exploration Inc.,explorer,"Montreal, Canada",gold,100.0,0.0,"Gold exploration company with the Perron Gold Project in Quebec, Canada, which has a significant mineral resource estimate.",2025-03-21 00:00:00+0000
26,ANK.V,ANGKOR RESOURCES,Angkor Resources Corp.,explorer,"Vancouver, Canada",gold,100.0,0.0,"Gold exploration company with projects in Cambodia, including the Lost City Gold Project and other exploration licenses.",2025-03-21 00:00:00+0000
27,AMRQ.V,AMAROQ MINERALS,Amaroq Minerals Ltd.,developer,"Toronto, Canada",gold,100.0,0.0,"Gold mine development company with the Nalunaq project in Greenland, which was previously producing from 2004 to 2013 and is currently being developed for production.",2025-03-21 00:00:00+0000
