cost_id,company_id,construction_costs,construction_costs_currency,aisc_last_quarter,aisc_last_quarter_currency,aisc_last_year,aisc_last_year_currency,aisc_future,aisc_future_currency,aic_last_quarter,aic_last_quarter_currency,aic_last_year,aic_last_year_currency,tco_current,tco_current_currency,tco_future,tco_future_currency,last_updated
1,132,340500000.0,USD,,,,,752.0,USD,,,,,,,600.0,USD,2025-03-23 12:42:00+0000
2,4,300000000.0,USD,,,,,818.0,USD,,,,,,,742.0,USD,2024-07-27 20:23:00+0000
3,3,1800000000.0,USD,,,,,1191.0,USD,,,,,,,964.0,USD,2024-07-27 20:22:00+0000
4,2,,,,,,,,,,,,,,,,,2024-07-27 20:21:00+0000
5,1,,,,,,,,,,,,,,,,,2024-07-27 20:20:00+0000
8,7,,,1350.0,USD,1300.0,USD,1275.0,USD,,,,,1100.0,USD,1050.0,USD,2024-07-27 20:25:00+0000
9,501,,,,,,,,,,,,,,,,,2025-03-25 03:20:00+0000
10,8,,,,,,,,,,,,,,,,,2024-07-27 20:26:00+0000
11,9,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
12,10,,,1179.0,USD,1179.0,USD,1225.0,USD,,,,,865.0,USD,900.0,USD,2025-03-20 00:00:00+0000
13,11,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
14,12,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
15,13,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
16,14,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
17,15,,,20.02,USD,21.73,USD,19.5,USD,,,,,13.49,USD,12.8,USD,2025-03-20 00:00:00+0000
18,16,,,,,1700.0,USD,1650.0,USD,,,,,1400.0,USD,1350.0,USD,2025-03-20 00:00:00+0000
19,17,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
20,18,,,26.2,USD,26.2,USD,,,,,,,21.5,USD,,,2025-03-20 00:00:00+0000
21,19,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
22,20,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
23,21,,,,,,,,,,,,,,,,,2025-03-21 00:00:00+0000
24,22,,,,,,,,,,,,,,,,,2025-03-21 00:00:00+0000
25,23,,,,,,,,,,,,,,,,,2025-03-21 00:00:00+0000
26,24,,,,,,,,,,,,,,,,,2025-03-21 00:00:00+0000
27,25,,,,,,,,,,,,,,,,,2025-03-21 00:00:00+0000
28,26,,,,,,,,,,,,,,,,,2025-03-21 00:00:00+0000
29,27,75000000.0,USD,,,,,950.0,USD,,,,,,,850.0,USD,2025-03-21 00:00:00+0000
30,28,,,,,,,850.0,USD,,,,,,,750.0,USD,2025-03-21 00:00:00+0000
31,29,,,,,,,,,,,,,,,,,2025-03-21 00:00:00+0000
32,30,,,2139.0,USD,2015.0,USD,1900.0,USD,2300.0,USD,2200.0,USD,1800.0,USD,1750.0,USD,2025-03-21 00:00:00+0000
33,31,,,,,,,,,,,,,,,,,2025-03-21 00:00:00+0000
34,32,,,1434.0,USD,1434.0,USD,1275.0,USD,,,,,1200.0,USD,,,2025-03-21 00:00:00+0000
35,33,,,,,,,,,,,,,,,,,2025-03-21 00:00:00+0000
