financial_id,company_id,cash_value,cash_currency,cash_date,investments_json,hedgebook,liabilities,liabilities_currency,other_financial_assets,other_financial_assets_currency,market_cap_value,market_cap_currency,enterprise_value_value,enterprise_value_currency,net_financial_assets,net_financial_assets_currency,trailing_pe,forward_pe,peg_ratio,price_to_sales,price_to_book,enterprise_to_revenue,enterprise_to_ebitda,revenue_value,revenue_currency,cost_of_revenue,gross_profit,operating_expense,operating_income,net_income_value,net_income_currency,ebitda,debt_value,debt_currency,last_updated,data_source,shares_outstanding,free_cash_flow
6,9,536478.0,CAD,2024-12-31 00:00:00+0000,,,6857541.0,CAD,,CAD,22304450.0,CAD,20069633.41943,USD,-6321063.0,CAD,-2.4999999999999996,,,,,,-4.416,,CAD,0.0,0.0,0.0,,-2465880.0,CAD,-6482467.0,6857541.0,CAD,2025-03-27 05:34:35+0000,Yahoo Finance,127454000,-5707527.0
7,7,95368000.0,USD,2024-12-31 00:00:00+0000,,,129323000.0,USD,,USD,1683906560.0,USD,1792819968.0,USD,-33955000.0,USD,-11.377777777777778,6.095238,0.03968992248062016,2.2779813,6.1985474,2.425,11.171,739209984.0,USD,0.0,0.0,0.0,,-208482000.0,USD,160492000.0,129323000.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,328888000,45523376.0
8,8,2990232.0,CAD,2024-12-31 00:00:00+0000,,,985403.0,CAD,,CAD,44352108.0,CAD,29690100.779690005,USD,2004829.0,CAD,-2.75,,,4382.619,,4184.514,-4.215,10120.0,CAD,0.0,0.0,0.0,,-5337040.0,CAD,-10047972.0,985403.0,CAD,2025-03-27 05:34:35+0000,Yahoo Finance,806401984,-8650200.0
10,21,8301783.0,CAD,2024-12-31 00:00:00+0000,,,1300000.0,CAD,,CAD,41590720.0,CAD,24250649.62007,USD,7001783.0,CAD,-189.40946621064663,,,,2.1917808,,-13.271,,CAD,,,596712.0,,-219581.0,CAD,-1869355.0,0.0,CAD,2025-03-27 05:34:35+0000,Yahoo Finance,259942000,5995166.0
11,12,346759.0,CAD,,,,272524.0,CAD,,CAD,3211160.0,CAD,2199329.48675,USD,74235.0,CAD,-1.5,,,,0.28753996,,-3.238,,CAD,,-189407.0,328702.0,-518109.0,-1522743.0,CAD,-733630.0,272524.0,CAD,2025-03-27 05:34:35+0000,Yahoo Finance,32111600,65918.0
12,33,9386301.0,CAD,2024-12-31 00:00:00+0000,,,500000.0,CAD,,CAD,83722496.0,CAD,52468404.67645,USD,8886301.0,CAD,-7.428571428571428,,,,9.454545,,-7.339,,CAD,,,7113196.0,,-8149034.0,CAD,-10584581.0,0.0,CAD,2025-03-27 05:34:36+0000,Yahoo Finance,167444992,-4677918.0
13,10,933737024.0,USD,2024-12-31 00:00:00+0000,,,1282182016.0,USD,,USD,75595055104.0,USD,75943518208.0,USD,-348444992.0,USD,27.720076,32.439655,-1.9053166162025315,9.123499,3.6250663,9.166,16.928,8285752832.0,USD,0.0,0.0,0.0,,1895581000.0,USD,4486336000.0,1282182016.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,502225984,2045402880.0
14,11,573471.0,CAD,,,,200000.0,CAD,,CAD,3657810.0,CAD,2302682.91629,USD,373471.0,CAD,-0.09375,,,,0.20689656,,-2.37,,CAD,,,2737307.0,,-2548149.0,CAD,-1301439.0,0.0,CAD,2025-03-27 05:34:35+0000,Yahoo Finance,121927000,-4303428.0
15,15,251960992.0,USD,2024-12-31 00:00:00+0000,,,237016992.0,USD,,USD,4898990592.0,USD,4884050432.0,USD,14944000.0,USD,-20.653061224489793,27.35135,0.11767441860465115,8.738771,2.2609472,8.712,38.125,560604032.0,USD,0.0,0.0,0.0,,-144928360.0,USD,128105000.0,237016992.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,484089984,56850500.0
16,13,,CAD,,,,500000.0,CAD,,CAD,32528512.0,CAD,23156620.04832,USD,,CAD,,,,,2.5,,,,CAD,,,,,,CAD,,0.0,CAD,2025-03-27 05:34:35+0000,Yahoo Finance,160000000,
17,14,14382978.0,CAD,,,,792500.0,CAD,,CAD,43969640.0,CAD,21299134.26982,USD,13590478.0,CAD,-119.47947066655797,,,,2.8888886,,,,CAD,,,358010.0,,-368010.0,CAD,,792500.0,CAD,2025-03-27 05:34:35+0000,Yahoo Finance,169114000,-1571489.0
18,39,351200000.0,USD,2024-12-31 00:00:00+0000,,,286600000.0,USD,,USD,15521980416.0,USD,15457380352.0,USD,64600000.0,USD,37.292927,24.130718,0.6837036616666665,11.524226,4.3302836,11.476,22.608,1346899968.0,USD,0.0,0.0,0.0,,284300000.0,USD,683699968.0,286600000.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,420422016,334649984.0
19,16,6973000.0,USD,2024-12-31 00:00:00+0000,,,26595000.0,USD,,USD,28943758.0,USD,44114456.0,USD,-19622000.0,USD,-0.6666666666666667,,,0.7867289,1.7391304,1.199,-9.422,36790000.0,USD,33374000.0,3416000.0,6668000.0,-3252000.0,-27068000.0,USD,-4682000.0,26595000.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,612310976,-7197625.0
20,17,4386128.0,USD,2024-12-31 00:00:00+0000,,,1500000.0,USD,,USD,24076974.0,USD,19488294.0,USD,2886128.0,USD,-6.5,,,,0.7065217,,-6.595,,USD,0.0,0.0,4116554.0,,-2637088.0,USD,-2955126.0,0.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,370415008,-7390137.0
21,19,11144941.0,CAD,2024-12-31 00:00:00+0000,,,2000000.0,CAD,,CAD,367013792.0,CAD,250905430.12461,USD,9144941.0,CAD,65.333336,-196.00002,-0.49000002,,2.6849315,,-131.72,,CAD,,,8759884.0,,2183654.0,CAD,-2817806.0,0.0,CAD,2025-03-27 05:34:35+0000,Yahoo Finance,169914000,-18137144.0
22,20,1905062.0,CAD,2024-12-31 00:00:00+0000,,,300000.0,CAD,,,63462212.0,CAD,43368666.4365,USD,1605062.0,CAD,,,,,4.0462427,,,,CAD,,,,,,CAD,,0.0,CAD,2025-03-27 05:34:35+0000,Yahoo Finance,90660304,
