company_id	tsx_code	company_name
1	AAB.TO	ABERDEEN INTERNATIONAL
2	IRV.CN	IRVING RESOURCES
3	ITH.TO	INTL. TOWER HILL MINES
4	ITR.V	INTEGRA RESOURCES
5	AAG.V	AFTERMATH SILVER
6	ABRA.TO	ABRASILVER RESOURCE
7	AAUC.TO	ALLIED GOLD
8	ABI.V	ABCOURT MINES
9	AAN.V	ATON RESOURCES
10	AEM.TO	AGNICO EAGLE MINES
11	AERO.V	AERO ENERGY
12	ADZ.V	ADAMERA MINERALS
13	AGA.V	SILVER47 EXPLORATION
14	AGAG.V	ARGENTA SILVER
15	AG.TO	FIRST MAJESTIC SILVER
16	AGLD.V	AUSTRAL GOLD LIMITED
17	AGMR.V	SILVER MOUNTAIN RESOURCES
18	AGX.V	SILVER X MINING
19	ALDE.V	ALDEBARAN RESOURCES
20	ALEX.V	ALPHA EXPLORATION
21	ADY.V	ADYTON RESOURCES
22	AMC.TO	ARIZONA METALS
23	AMQ.CN	ABITIBI METALS
24	ALTA.V	ALTAMIRA GOLD
25	AMX.V	AMEX EXPLORATION
26	ANK.V	ANGKOR RESOURCES
27	AMRQ.V	AMAROQ MINERALS
28	AOT.TO	ASCOT RESOURCES
29	APGO.V	APOLLO SILVER
30	APM.TO	ANDEAN PRECIOUS METALS
31	ANTL.V	ANTLER GOLD
32	ARIS.TO	ARIS MINING
33	AE.V	AMERICAN EAGLE GOLD
34	ARTG.V	ARTEMIS GOLD
35	ARU.V	AURANIA RESOURCES
36	ASE.CN	ASANTE GOLD
37	ARK.V	ARRAS MINERALS
38	ASTR.V	ASTRA EXPLORATION
39	AGI.TO	ALAMOS GOLD
40	AU.V	AURION RESOURCES
41	ARIC.V	AWALÉ RESOURCES LIMITED
42	AWM.V	ANGEL WING METALS
43	AUM.V	AUMEGA METALS
44	AUMB.V	1911 GOLD
45	ATHA.CN	ATHENA GOLD
46	AUR.H.V	AURORA ROYALTIES
47	AUAU.V	ALLEGIANT GOLD
48	AYA.TO	AYA GOLD & SILVER
49	ASM.TO	AVINO SILVER & GOLD MINES
50	AZS.V	ARIZONA GOLD & SILVER
51	AZT.V	AZTEC MINERALS
52	AUOZ.CN	EMPEROR METALS
53	BAU.V	BLUE STAR GOLD
54	BBB.V	BRIXTON METALS
55	BCM.V	BEAR CREEK MINING
56	BAT.V	BATERO GOLD
57	BGF.V	BECAUSE GOLD FIELDS
